Ingredient,Volume,Mass grams  (g)
00  pizza  flour,1 cup,116
all-purpose  flour,1 cup,120
almond  flour,1 cup,96
amaranth  flour,1 cup,103
barley  flour,1 cup,85
bread  flour,1 cup,120
brown  rice  flour,1 cup,128
buckwheat  flour,1 cup,120
chickpea  flour,1 cup,85
coconut  flour,1 cup,128
"corn flour,  masa  harina",1 cup,93
durum  flour,1 cup,124
gluten-free  00  pizza  flour,1 cup,100
gluten-free  all-purpose  flour,1 cup,156
gluten-free  bread  flour,1 cup,120
gluten-free  measure  for  measure  flour,1 cup,120
glutinous  rice  flour,1 cup,120
hazelnut  flour,1 cup,89
high-gluten  flour,1 cup,120
oat flour,1 cup,92
pastry  flour,1 cup,106
potato  flour,1/4 cup,46
pumpernickel  flour,1 cup,106
quinoa  flour,1 cup,110
rye flour,1 cup,110
self-rising  flour,1 cup,113
semolina  flour,1 cup,163
sorghum  flour,1 cup,138
soy flour,1/4 cup,35
spelt  flour,1 cup,99
tapioca  starch  or  flour,1 cup,113
unbleached  cake  flour,1 cup,120
white  rye  flour,1 cup,106
white  whole  wheat  flour,1 cup,113
whole  grain  flour,1 cup,113
whole  wheat  flour,1 cup,113
whole  wheat  pastry  flour,1 cup,96
"almonds,  slivered",1/2 cup,57
"almonds,  whole,  unblanched",1 cup,142
"apple  juice,  concentrate",1/4 cup,70
"apples,  dried,  diced",1 cup,85
"apples,  peeled,  sliced",1 cup,113
applesauce,1 cup,255
"apricot,  dried,  diced",1/2 cup,64
baking  powder,1 teaspoon,4
baking  soda,1/2 teaspoon,3
"bananas,  raw,  mashed",1 cup,227
"barley,  cooked",1 cup,215
barley  flakes,1/2 cup,46
barley  malt  syrup,"2
tablespoons",42
basil  pesto,"2
tablespoons",28
"bell  peppers,  fresh,  diced",1 cup,142
"blueberries,  dried",1 cup,156
"blueberries,  fresh",1 cup,180
"blueberries,  frozen",1 cup,150
blueberry  juice,1 cup,241
bran  cereal,1 cup,60
"breadcrumbs,  dry",1/4 cup,28
"breadcrumbs,  fresh",1/4 cup,21
"bread  crumbs,  japanese  panko",1 cup,50
"brown  rice,  cooked",1 cup,170
"buckwheat,  whole,  cooked",1 cup,170
bulgur,1 cup,152
butter,1/2 cup,113
buttermilk,1 cup,227
buttermilk  powder,"2
tablespoons",18
cacao  nibs,1 cup,120
caraway  seeds,"2
tablespoons",18
"carrots,  cooked  and  puréed",1/2 cup,128
"carrots,  diced",1 cup,142
"carrots,  grated",1 cup,99
"cashews,  chopped",1 cup,113
"cashews,  whole",1 cup,113
"celery,  diced",1 cup,142
"cheese,  feta",1/2 cup,57
"cheese, grated, semi-soft",1 cup,113
"cheese,  grated,  hard",1/2 cup,50
"cheese,  creamy",1 cup,227
"cherries,  candied",1/4 cup,50
"cherries,  dried",1/2 cup,71
"cherries, fresh, chopped, pits removed",1/2 cup,80
"cherries,  frozen,  pits  removed",1 cup,113
"chia  seeds,  dry",1/4 cup,37
"chives,  fresh",1/2 cup,21
"chocolate,  chopped",1 cup,170
chocolate  chips,1 cup,170
chocolate  chunks,1 cup,170
"cocoa,  unsweetened",1/2 cup,42
"coconut,  sweetened,  shredded",1 cup,85
"coconut,  toasted",1 cup,85
"coconut,  unsweetened,  desiccated",1 cup,85
"coconut,  unsweetened,  large  flakes",1 cup,60
"coconut,  unsweetened,  shredded",1 cup,53
"coconut  cream,  unsweetened",1 cup,284
"coconut  milk,  canned,  shaken",1 cup,241
"coconut  milk,  evaporated",1 cup,242
coconut  milk  powder,1/2 cup,57
coconut  oil,1/2 cup,113
"cornmeal,  whole",1 cup,138
"cornmeal,  yellow",1 cup,156
cornstarch,1/4 cup,28
cracked  wheat,1 cup,149
"cranberries,  dried",1/2 cup,57
"cranberries,  fresh  or  frozen",1 cup,99
"cream, heavy cream, light cream, or half and half",1 cup,227
cream  cheese,1 cup,227
cream of coconut,1/2 cup,142
crème  fraiche,1/2 cup,124
crystallized  ginger,1/2 cup,92
currants,1 cup,142
"dates,  chopped",1 cup,149
"dried  nonfat  milk,  powdered",1/4 cup,28
dried  potato  flakes,1/2 cup,43
"dried  whole  milk,  powdered",1/2 cup,50
"egg, fresh",1 large,50
"egg  white,  fresh",1 large,35
"egg  whites,  dried","2
tablespoons",11
"egg  yolk,  fresh",1 large,14
espresso  powder,"1
tablespoon",7
"figs,  dried,  chopped",1 cup,149
flax  meal,1/2 cup,50
flaxseed,1/4 cup,35
"garlic,  minced","2
tablespoons",28
"garlic,  peeled  and  sliced",1 cup,149
ghee,1/4 cup,44
"ginger,  fresh,  sliced",1/4 cup,57
gluten-free  all-purpose  baking  mix,1 cup,120
gluten-free  sourdough  starter,1 cup,235
"graham cracker crumbs, crushed from whole crackers",1 cup,100
granola,1 cup,113
guava  paste,1/4 cup,100
hazelnut  praline  paste,1/2 cup,156
hazelnut  spread,1/2 cup,160
"hazelnuts,  whole",1 cup,142
lard,1/2 cup,113
"leeks,  diced",1 cup,92
lemon  curd,1/2 cup,113
lemon  juice,"1
tablespoon",14
"lemon  juice,  powdered","2
tablespoons",18
lime  juice,1 cup,227
"lime  juice,  powdered","2
tablespoons",18
"macadamia  nuts,  whole",1 cup,149
malt syrup,"2
tablespoons",43
malted  milk  powder,1/4 cup,35
malted  wheat  flakes,1/2 cup,64
"marshmallows,  mini",1 cup,43
marzipan,1 cup,290
mascarpone  cheese,1 cup,227
mashed  potatoes,1 cup,213
mashed  sweet  potatoes,1 cup,240
mayonnaise,1/2 cup,113
"milk,  evaporated",1/2 cup,113
"milk,  fresh",1 cup,227
"millet,  whole",1/2 cup,103
mini  chocolate  chips,1 cup,177
"mushrooms,  sliced",1 cup,78
non-diastatic  malt  powder,"2
tablespoons",18
oat bran,1/2 cup,53
"oats,  rolled",1 cup,89
"oats,  prepared",1 cup,147
olive  oil,1/4 cup,50
"olives,  sliced",1 cup,142
"onions,  fresh,  diced",1 cup,142
passion  fruit  purée,1/3 cup,60
"peaches,  peeled  and  diced",1 cup,170
peanut  butter,1/2 cup,135
"peanuts,  whole,  shelled",1 cup,142
"pears,  peeled  and  diced",1 cup,163
pecan  meal,1 cup,80
"pecans,  diced",1/2 cup,57
pine  nuts,1/2 cup,71
"pineapple,  crushed,  drained",1 cup,256
"pineapple,  dried",1/2 cup,71
"pineapple,  fresh  or  canned,  diced",1 cup,170
"pistachio  nuts,  shelled",1/2 cup,60
pistachio  paste,1/4 cup,78
pizza  sauce,1/4 cup,57
"polenta,  coarse  ground  cornmeal",1 cup,163
poppy  seeds,"2
tablespoons",18
potato  starch,1 cup,152
pumpkin  purée,1 cup,227
queso  fresco,1/2 cup,57
"quinoa,  cooked",1 cup,184
"quinoa,  whole",1 cup,177
"raisins,  loose",1 cup,149
"raisins,  packed",1/2 cup,85
"raspberries,  whole,  fresh",1 cup,120
"raspberries,  whole,  frozen",1 cup,142
"rhubarb,  sliced,  1/2  slices",1 cup,130
"rice,  long  grain,  dry",1/2 cup,99
"rice  flour,  white",1 cup,142
rye flakes,1 cup,124
"salt,  table","1
tablespoon",18
"scallions,  sliced",1 cup,64
sesame  seeds,1/2 cup,71
"shallots,  raw,  sliced",1 cup,156
sour  cream,1 cup,227
sourdough  starter,1 cup,235
steel cut oats,1/2 cup,70
"strawberries,  fresh,  sliced",1 cup,167
sunflower  seeds,1/4 cup,35
sweetened  condensed  coconut  milk,1 cup,288
sweetened  condensed  milk,1/4 cup,78
tahini paste,1/2 cup,128
"tapioca,  quick  cooking","2
tablespoons",21
tomato paste,"2
tablespoons",29
vanilla  extract,"1
tablespoon",14
vegetable  oil,1 cup,198
vegetable  shortening,1/4 cup,46
vital  wheat  gluten,"2
tablespoons",18
"walnuts,  chopped",1 cup,113
"walnuts,  whole",1/2 cup,64
water,1 cup,227
"wheat  berries,  red",1 cup,184
wheat  bran,1/2 cup,32
wheat  germ,1/4 cup,28
white  chocolate  chips,1 cup,170
"yeast, instant",1 teaspoon,3
"yogurt,  plain",1 cup,227
agave  syrup,1/4 cup,84
honey,1 tablespoon,21
cheese,1 cup,227
cherries,1/4 cup,50
cherry concentrate,"2
tablespoons",42
chia seeds,1/4 cup,37
chickpea flour,1 cup,85
chives,1/2 cup,21
chocolate,1 cup,170
chocolate chips,1 cup,170
chocolate chunks,1 cup,170
cinnamon sweet bits,1/4 cup,35
cinnamon-sugar,1/4 cup,50
climate blend flour,1 cup,115
cocoa,1/2 cup,42
coconut,1 cup,85
coconut cream,1 cup,284
coconut flour,1 cup,128
"coconut milk; canned, well shaken",1 cup,241
coconut milk,1 cup,242
coconut milk powder,1/2 cup,57
coconut oil,1/2 cup,113
coconut sugar,1/2 cup,77
confectioners sugar,2 cups,227
cookie butter,1/4 cup,72
cookie crumbs,1 cup,85
corn,1/4 cup,38
corn syrup,1 cup,312
cornmeal,1 cup,138
cracked wheat,1 cup,149
cranberries,1/2 cup,57
cream,1 cup,227
cream cheese,1 cup,227
crème fraiche,1/2 cup,124
crystallized ginger,1/2 cup,92
dates,1 cup,149
demerara sugar,1 cup,220
dried blueberry powder,1/4 cup,28
dried milk,1/4 cup,28
dried nonfat milk,1/4 cup,28
dried potato flakes,1/2 cup,43
dried whole milk,1/2 cup,50
durum flour,1 cup,124
easy roll dough improver,"2
tablespoons",18
egg yolk,1/4cup,17
egg,1/4 cup,50
egg white,2 tablespoon,30-35
egg whites,"2
tablespoons",11
espresso powder,1 tablespoon,7
everything bagel topping,1/4 cup,35
figs,1 cup,149
first clear flour,1 cup,106
flax meal,1/2 cup,50
formaggio italiano cheese and herb blend,1/4cup,30
french-style flour,1cup,120
fruitcake fruit blend,1 cup,113
garlic,2 tablespoon,28
ginger,1/4 cup,57
gluten-free pizza flour,1 cup,100
gluten-free all-purpose baking mix,1 cup,120
gluten-free all-purpose flour,1 cup,156
gluten-free bread flour,1 cup,120
gluten-free measure for measure flour,1 cup,120
gluten-free sourdough starter,1 cup,172-185
glutinous rice flour,1 cup,120
golden wheat flour,1 cup,113
graham cracker crumbs,1 cup,100
grape nuts,1/2 cup,57
guava paste,1/4  cup,100
harvest grains blend,1/2  cup,74
hazelnut flour,1  cup,89
hazelnut praline paste,1/2  cup,156
hazelnut spread,1/2  cup,160
hazelnuts,1  cup,142
hi-maize natural fiber,1/4  cup,32
high-gluten flour,1  cup,120
instant clearjel,1 tablespoon,11
irish-style flour,1 cup,110
italian-style flour,1 cup,106
jam or preserves,1/4 cup,85
jammy bits,1 cup,184
keto wheat flour,1 cup,120
keto wheat pizza crust mix,1 cup,102
key lime juice,1 cup,227
leeks,1 cup,92
lemon crumbles,1 cup,180
lemon curd,1/2 cup,113
lemon juice,1 tablespoon,14
lemon juice powder,2 tablespoons,18
lime juice powder,2 tablespoons,18
macadamia nuts,1 cup,149
malted milk powder,1/4 cup,35
malted wheat flakes,1/2 cup,64
maple sugar,1/2 cup,78
maple syrup,1/2 cup,156
"marshmallow spread, homemade",1 cup,72
"marshmallow  spread,  store-bought",1 cup,123
marshmallow fluff®,1 cup,128
marshmallows,1 cup,43
masa harina,1 cup,93
mascarpone cheese,1 cup,227
mashed potatoes,1 cup,213
mashed sweet potatoes,1 cup,240
medium rye flour,1 cup,106
meringue powder,1/4 cup,43
milk,1/2 cup,113
millet,1/2 cup,103
mini chocolate chips,1 cup,177
molasses,1/4 cup,85
mushrooms,1 cup,78
non-diastatic malt powder,2 tablespoons,18
nutella,1/2 cup,149
oats,1 cup,113
olive oil,1/4 cup,50
olives,1 cup,142
onions,1 cup,142
paleo baking flour,1 cup,104
palm shortening,1/4 cup,45
passion fruit purée,1/3 cup,60
pasta flour blend,1 cup,145
pastry flour,1 cup,106
pastry flour blend,1 cup,113
peaches,1 cup,170
peanut butter,1/2 cup,135
peanuts,1 cup,142
pears,1 cup,163
pecan meal,1 cup,80
pecans,1/2 cup,57
pie filling enhancer,1/4 cup,46
pine nuts,1/2 cup,71
pineapple,1 cup,256
pistachio nuts,1/2 cup,60
pistachio paste,1/4 cup,78
pizza dough flavor,2 tablespoons,12
pizza flour blend,1 cup,124
pizza sauce,1/4 cup,57
pizza seasoning,2 tablespoons,10
polenta,1 cup,163
poppy seeds,2 tablespoons,18
potato flour,1/4 cup,46
potato starch,1 cup,152
pumpernickel flour,1 cup,106
pumpkin purée,1 cup,227
queso fresco,1/2 cup,57
quinoa,1 cup,184
quinoa flour,1 cup,110
raisins,1 cup,149
raspberries,1 cup,120
rhubarb,1 cup,120-140
rice,1/2 cup,99
rice flour,1 cup,142
rice krispies,1 cup,28
rye bread improver,2 tablespoons,14
rye chops,1 cup,120
rye flour blend,1 cup,106
salt,1 tablespoon,8
scallions,1 cup,64
self-rising flour,1 cup,113
semolina flour,1 cup,163
sesame seeds,1/2 cup,71
shallots,1 cup,156
six-grain blend,1 cup,128
snow white non-melting topping sugar,1/2 cup,57
sorghum flour,1 cup,138
sour cream,1 cup,227
sourdough starter,1 cup,227-241
sparkling sugar,1/4 cup,57
spelt flour,1 cup,99
sprouted wheat flour,1 cup,113
sticky bun sugar,1 cup,99
strawberries,1 cup,167
sugar,1 cup,198
sugar substitute,1 cup,25
sundried tomatoes,1 cup,170
super 10 blend,1 cup,106
swedish pearl sugar,1/4 cup,49
sweet ground chocolate and cocoa blend,1/4 cup,28
sweetened condensed coconut milk,1 cup,288
sweetened condensed milk,1/4 cup,78
tapioca starch or flour,1 cup,113
tapioca,2 tablespoons,21
teff flour,1 cup,135
the works bread topping,1/4 cup,35
toasted almond flour,1 cup,96
toffee chunks,1 cup,156
tropical fruit blend,1 cup,128-142
turbinado sugar,1 cup,180
unbleached cake flour,1 cup,120
vanilla extract,1 tablespoon,14
vegetable oil,1 cup,198
vegetable shortening,1/4 cup,46
vital wheat gluten,2 tablespoons,18
walnuts,1 cup,113
wheat berries,1 cup,184
wheat bran,1/2 cup,32
wheat germ,1/4 cup,28
white chocolate chips,1 cup,170
white rye flour,1 cup,106
whole grain flour blend,1 cup,113
whole wheat flour,1 cup,113
whole wheat pastry flour / graham flour,1 cup,96
yeast,2 teaspoons,6
yogurt,1 cup,227
yuletide cheer fruit blend,1cup,130
zucchini,1cup,121-150
better cheddar cheese powder,1/2 cup,57
blueberries,1 cup,156
blueberry juice,1 cup,241
boiled cider,1/4 cup,85
bran cereal,1 cup,60
breadcrumbs,1/4 cup,28
bread flour,1 cup,120
brown rice,1 cup,170
brown rice flour,1 cup,128
brown sugar,1 cup,213
buckwheat,1 cup,170
buckwheat flour,1 cup,120
buttermilk powder,2 tablespoon,18
cacao nibs,1 cup,120
cake enhancer,2 tablespoon,14
candied lemon peel,1/4cup,37
candied orange peel,1/4 cup,25
caramel,1/2 cup,142
caramel bits,1 cup,156
caraway seeds,2 tablespoon,18
carrots,1/2 cup,128
cashews,1 cup,113
celery,1 cup,142
00 pizza flour,1 cup,116
agave syrup,1/4 cup,84
all-purpose baking mix,1 cup,120
all-purpose flour,1 cup,120
almond butter,1/4 cup,68
almond flour,1 cup,96
almond meal,1 cup,84
almond paste,1 cup,259
almonds,1/2 cup,43
"almonds, whole",1 cup,142
amaranth flour,1 cup,103
apple juice concentrate,1/4 cup,70
apples,1 cup,85
apricots,1/2 cup,64
artisan bread flour,1 cup,120
artisan bread topping,1/4 cup,43
bakers cinnamon filling,1 cup,152
bakers fruit blend,1 cup,128
bakers special sugar,1 cup,190
baking powder,1 teaspoon,4
baking soda,1/2 teaspoon,3
baking sugar alternative,1 cup,170
bananas,1 cup,227
barley,1 cup,215
barley flakes,1/2 cup,46
barley flour,1 cup,85
barley malt syrup,2 tablespoon,42
basil pesto,2 tablespoon,28
bell peppers,1 cup ,142
berries,1 cup,142
pistachios,1 cup,213
bell pepper,1 cup,249
sucanat,1 cup,229
carrot,1 cup,164
brown rice syrup,1 cup,130
heavy cream,1 cup,173
peach,1 cup,102
mango,1 cup,238
honey powder,1 cup,220
broccoli florets,1 cup,158
almond milk,1 cup,195
millet flour,1 cup,222
brazil nuts,1 cup,203
date sugar,1 cup,206
radish,1 cup,176
plum,1 cup,214
hemp seeds,1 cup,111
papaya,1 cup,240
cabbage,1 cup,132
beetroot,1 cup,230
pomegranate seeds,1 cup,195
muscovado sugar,1 cup,101
kale,1 cup,160
spinach,1 cup,153
sunflower seeds,1 cup,106
flaxseeds,1 cup,115
pumpkin seeds,1 cup,196
blackberries,1 cup,242
kiwi,1 cup,250
agave nectar,1 cup,164
buckwheat groats,1 cup,103
ricotta cheese,1 cup,235
oat milk powder,1 cup,110
cajun seasoning,1 cup,90
canola oil,1 cup,218
capers,1 cup,144
"cardamom, ground",1 cup,130
"carrots, grated",1 cup,110
cashew butter,1 cup,250
"cauliflower, riced",1 cup,107
"celery, chopped",1 cup,150
chickpeas,1 cup,164
chili powder,1 cup,112
cilantro,1 cup,40
"cinnamon, ground",1 cup,132
cocoa powder,1 cup,125
"coconut, shredded",1 cup,93
"coffee, ground",1 cup,82
"collard greens, chopped",1 cup,67
coriander seeds,1 cup,110
corn flour,1 cup,150
cottage cheese,1 cup,226
couscous,1 cup,180
"cranberries, dried",1 cup,120
cumin seeds,1 cup,108
curry powder,1 cup,104
"dates, chopped",1 cup,160
"dill, fresh",1 cup,40
edamame,1 cup,150
"eggplant, diced",1 cup,150
evaporated milk,1 cup,252
fennel seeds,1 cup,125
"feta cheese, crumbled",1 cup,150
garbanzo flour,1 cup,120
"garlic, minced",1 cup,136
"ginger, ground",1 cup,132
goji berries,1 cup,112
golden syrup,1 cup,327
gorgonzola cheese,1 cup,140
gouda cheese,1 cup,140
grapes,1 cup,150
greek yogurt,1 cup,245
"green beans, chopped",1 cup,150
green peas,1 cup,145
hummus,1 cup,250
jackfruit,1 cup,155
"jalapeños, chopped",1 cup,140
jasmine rice,1 cup,185
"kale, chopped",1 cup,67
kefir,1 cup,245
ketchup,1 cup,270
kidney beans,1 cup,185
kimchi,1 cup,150
"leeks, chopped",1 cup,135
lentils,1 cup,192
lime juice,1 cup,240
"mango, diced",1 cup,165
"marjoram, dried",1 cup,40
miso paste,1 cup,240
mung beans,1 cup,190
"mustard, prepared",1 cup,250
navy beans,1 cup,185
"nutmeg, ground",1 cup,132
nutritional yeast,1 cup,60
"oats, rolled",1 cup,85
"onions, diced",1 cup,160
orange juice,1 cup,240
"oregano, dried",1 cup,40
"papaya, diced",1 cup,145
paprika,1 cup,112
"parmesan cheese, grated",1 cup,100
"parsley, fresh",1 cup,40
pepper jack cheese,1 cup,140
"plantain, mashed",1 cup,215
"plum, diced",1 cup,145
"pork, ground",1 cup,225
"pumpkin, pureed",1 cup,245
"radish, sliced",1 cup,125
red lentils,1 cup,192
rice bran,1 cup,160
"rosemary, dried",1 cup,60
saffron,1 cup,25
"sage, dried",1 cup,40
"salmon, canned",1 cup,210
"sardines, canned",1 cup,225
"scallions, chopped",1 cup,150
"shallots, minced",1 cup,160
soy sauce,1 cup,250
spaghetti squash,1 cup,150
"spinach, chopped",1 cup,30
stevia powder,1 cup,50
"strawberries, sliced",1 cup,140
tahini,1 cup,240
tapioca flour,1 cup,120
"thyme, dried",1 cup,50
"tofu, firm",1 cup,250
tomato juice,1 cup,245
"tomatoes, diced",1 cup,150
"turnips, diced",1 cup,130
water chestnuts,1 cup,144
watercress,1 cup,34
whey protein,1 cup,100
"yogurt, plain",1 cup,245
"zucchini, shredded",1 cup,120
acai powder,1 cup,100
adzuki beans,1 cup,200
agar agar,1 cup,150
"allspice, ground",1 cup,100
amaranth,1 cup,246
anchovy fillets,1 cup,250
anise seeds,1 cup,140
apple cider vinegar,1 cup,240
apple sauce,1 cup,255
"apricot, dried",1 cup,125
arrowroot powder,1 cup,128
artichoke hearts,1 cup,150
arugula,1 cup,30
"asiago cheese, shredded",1 cup,108
"asparagus, chopped",1 cup,134
"avocado, mashed",1 cup,230
bacon bits,1 cup,120
balsamic vinegar,1 cup,250
bamboo shoots,1 cup,140
"basil, dried",1 cup,40
bay leaves,1 cup,50
"beef, ground",1 cup,225
"beets, chopped",1 cup,135
"bell peppers, diced",1 cup,150
black beans,1 cup,185
black pepper,1 cup,90
"blue cheese, crumbled",1 cup,135
bok choy,1 cup,140
bran flakes,1 cup,42
"broccoli, chopped",1 cup,91
bulgar wheat,1 cup,190
"butter, melted",1 cup,227
"cabbage, shredded",1 cup,89
